time,journey_id,question,answer
2019-02-25 06:43:48.467147,67258,question.staff_rating,3
2019-02-25 05:25:58.184959,69794,question.overall_rating,4
2019-02-25 10:14:08.976708,67922,question.overall_rating,2
2019-02-25 08:42:14.125010,67221,question.overall_rating,2
2019-02-25 10:42:03.799888,69491,question.staff_rating,5
2019-02-25 08:43:23.178876,69704,question.overall_rating,5
2019-02-25 10:16:29.636889,67922,question.open_feedback,text data
2019-02-25 08:42:46.971420,67221,question.staff_rating,5
2019-02-25 10:41:52.669712,69491,question.overall_rating,5
2019-02-25 13:16:02.743574,69555,question.overall_rating,4
2019-02-25 13:37:19.844056,69555,question.open_feedback,text data
2019-02-19 13:37:23.059229,67631,question.open_feedback,text data
2019-02-19 12:54:35.291881,68470,question.staff_rating,4
2019-02-19 12:54:27.810359,68470,question.overall_rating,4
2019-02-19 13:35:55.409021,67631,question.staff_rating,5
2019-02-21 02:59:03.102533,67975,question.staff_rating,4
2019-02-21 02:58:42.094062,67975,question.overall_rating,3
2019-02-21 08:00:19.063546,67045,question.overall_rating,1
2019-02-21 08:04:46.620228,67045,question.open_feedback,text data
2019-02-21 22:11:01.067750,68981,question.overall_rating,4
2019-02-22 03:09:39.632378,69000,question.overall_rating,5
2019-02-22 06:56:42.952990,68318,question.overall_rating,4
2019-02-22 06:25:39.571053,68861,question.staff_rating,4
2019-02-22 16:22:44.786946,68833,question.staff_rating,5
2019-02-22 16:22:30.369259,68833,question.overall_rating,4
2019-02-23 07:33:52.886274,67815,question.overall_rating,4
2019-02-23 07:56:53.270226,68923,question.staff_rating,4
2019-02-23 09:47:45.260283,69489,question.open_feedback,text data
2019-02-23 09:46:40.409950,69489,question.overall_rating,4
2019-02-24 04:20:13.133716,68688,question.overall_rating,1
2019-02-23 23:22:46.559718,69833,question.overall_rating,4
2019-02-23 18:43:20.159433,69860,question.staff_rating,3
2019-02-24 08:09:43.587911,69067,question.open_feedback,text data
2019-02-24 08:09:17.828438,69067,question.staff_rating,1
2019-02-24 09:21:09.806801,68333,question.staff_rating,5
2019-02-24 08:09:10.149152,69067,question.overall_rating,1
2019-02-24 10:47:05.446765,69804,question.staff_rating,1
2019-02-24 09:14:44.163939,68335,question.open_feedback,text data
2019-02-24 09:21:04.691659,68333,question.overall_rating,5
2019-02-24 10:47:33.826734,69804,question.open_feedback,text data
2019-02-24 13:17:39.353602,68619,question.staff_rating,5
2019-02-24 15:42:53.823242,67981,question.overall_rating,4
2019-02-25 01:46:36.916480,67299,question.overall_rating,5
2019-02-24 16:47:22.110042,69852,question.overall_rating,4
2019-02-25 01:49:10.481726,67299,question.open_feedback,text data
2019-02-25 01:10:39.479166,69403,question.overall_rating,4
2019-02-24 16:47:31.918320,69852,question.staff_rating,3
2019-02-24 20:32:36.963143,68534,question.overall_rating,4
2019-02-25 05:15:26.979840,69218,question.overall_rating,4
2019-02-25 06:43:37.924529,67258,question.overall_rating,4
2019-02-25 07:23:33.345469,68567,question.overall_rating,4
2019-02-25 08:43:34.335004,69704,question.staff_rating,5
2019-02-25 10:14:17.570584,67922,question.staff_rating,3
2019-02-25 08:46:25.827413,67221,question.open_feedback,text data
2019-02-25 16:21:30.422026,69470,question.overall_rating,3
2019-02-25 16:30:28.107839,69430,question.staff_rating,4
2019-02-25 13:35:31.752739,69555,question.staff_rating,5
2019-02-25 21:11:08.287782,68899,question.staff_rating,5
2019-02-26 02:25:10.992936,68692,question.overall_rating,4
2019-02-25 16:21:59.533137,69470,question.staff_rating,3
2019-02-26 02:25:58.386891,68692,question.open_feedback,text data
2019-02-25 16:30:18.398143,69430,question.overall_rating,4
2019-02-26 02:25:24.176773,68692,question.staff_rating,5
2019-02-26 06:39:53.924226,68853,question.open_feedback,text data
2019-02-26 07:22:01.432133,69516,question.staff_rating,5
2019-02-26 06:36:59.412850,68853,question.staff_rating,1
2019-02-26 06:03:53.256556,68853,question.overall_rating,1
2019-02-26 07:23:15.733071,69516,question.open_feedback,text data
2019-02-26 07:21:46.473048,69516,question.overall_rating,5
2019-02-26 13:56:44.395870,68605,question.overall_rating,5
2019-02-26 13:57:14.235632,68605,question.staff_rating,5
2019-02-27 12:53:20.666225,69500,question.staff_rating,3
2019-02-26 22:12:35.191580,69392,question.overall_rating,5
2019-02-27 02:03:45.886859,68807,question.overall_rating,5
2019-02-27 02:03:51.172810,68807,question.staff_rating,5
2019-02-27 12:53:10.149412,69500,question.overall_rating,2
2019-02-27 14:12:28.576954,69439,question.open_feedback,text data
2019-02-27 14:09:46.920619,69439,question.overall_rating,4
2019-02-27 14:10:21.679324,69439,question.staff_rating,4
2019-02-28 02:12:03.537208,67228,question.overall_rating,4
2019-02-27 12:56:47.476874,69500,question.open_feedback,text data
2019-02-27 13:45:57.153172,69473,question.staff_rating,5
2019-02-27 13:45:50.380337,69473,question.overall_rating,5
2019-02-28 10:07:32.861576,67665,question.overall_rating,5
2019-02-28 04:38:37.941396,69029,question.open_feedback,text data
2019-02-28 02:14:58.168369,67228,question.open_feedback,text data
2019-02-28 04:36:28.922636,69029,question.staff_rating,5
2019-02-28 02:12:21.509339,67228,question.staff_rating,4
2019-02-28 10:10:25.196818,67694,question.overall_rating,5
2019-02-28 04:36:03.087328,69029,question.overall_rating,5
2019-03-01 02:18:24.225566,69756,question.overall_rating,4
2019-02-28 10:10:31.720308,67694,question.staff_rating,5
2019-02-28 10:07:57.512289,67665,question.staff_rating,5
2019-02-28 07:24:38.221418,68989,question.open_feedback,text data
2019-02-28 07:23:49.921386,68989,question.overall_rating,5
2019-02-28 08:49:24.403975,70283,question.overall_rating,4
2019-02-28 07:23:55.710120,68989,question.staff_rating,5
2019-02-28 08:49:36.951090,70283,question.staff_rating,3
2019-02-28 15:59:01.179082,69468,question.overall_rating,4
2019-02-28 15:59:43.882045,69468,question.staff_rating,4
2019-03-01 02:18:52.709483,69756,question.staff_rating,5
2019-03-01 05:26:27.943176,70899,question.overall_rating,4
2019-03-01 05:26:41.960667,70899,question.staff_rating,5
2019-03-01 10:04:39.729117,70388,question.overall_rating,5
2019-03-01 10:26:34.987171,68051,question.overall_rating,4
2019-03-01 10:04:44.815730,70388,question.staff_rating,5
2019-03-01 18:09:37.453804,67735,question.overall_rating,5
2019-03-01 10:26:42.221439,68051,question.staff_rating,4
2019-03-01 07:35:00.156514,70719,question.overall_rating,2
2019-03-01 18:09:50.366798,67735,question.staff_rating,5
2019-03-01 07:35:07.624725,70719,question.staff_rating,5
2019-03-01 10:05:54.738403,70388,question.open_feedback,text data
2019-03-01 07:35:58.454335,70719,question.open_feedback,text data
2019-03-01 10:27:30.489062,68051,question.open_feedback,text data
2019-03-01 23:20:29.444407,69391,question.overall_rating,1
2019-03-01 23:26:24.847739,69391,question.staff_rating,1
2019-03-02 03:38:04.813205,69077,question.overall_rating,4
2019-03-02 03:38:54.958497,69077,question.staff_rating,5
2019-03-02 03:41:23.115961,69077,question.open_feedback,text data
2019-03-02 04:30:06.428254,68672,question.staff_rating,2
2019-03-02 04:29:24.082658,68672,question.overall_rating,1
2019-03-02 07:38:30.155987,70837,question.overall_rating,4
2019-03-02 04:31:12.794672,68672,question.open_feedback,text data
2019-03-02 18:18:09.596416,68080,question.staff_rating,1
2019-03-02 16:41:30.236096,68042,question.staff_rating,4
2019-03-02 21:12:00.534344,69554,question.overall_rating,5
2019-03-02 18:17:58.227108,68080,question.overall_rating,1
2019-03-02 23:57:32.082896,67311,question.overall_rating,1
2019-03-02 21:12:05.426622,69554,question.staff_rating,5
2019-03-02 16:41:12.673064,68042,question.overall_rating,3
2019-03-02 19:38:08.583048,70611,question.overall_rating,5
2019-03-03 03:42:58.010972,71838,question.staff_rating,4
2019-03-03 03:40:24.377829,68194,question.overall_rating,5
2019-03-03 09:52:50.916338,69514,question.overall_rating,4
2019-03-03 03:42:52.257378,71838,question.overall_rating,4
2019-03-03 08:14:04.019082,70870,question.staff_rating,4
2019-03-03 09:52:56.128026,69514,question.staff_rating,4
2019-03-03 06:24:32.355490,68929,question.open_feedback,text data
2019-03-03 03:41:23.782700,68194,question.staff_rating,5
2019-03-03 06:25:27.003474,69521,question.overall_rating,5
2019-03-03 06:22:18.852637,68929,question.staff_rating,5
2019-03-03 16:02:30.123842,71381,question.staff_rating,5
2019-03-03 06:34:54.327588,68978,question.overall_rating,5
2019-03-03 08:13:58.988831,70870,question.overall_rating,5
2019-03-03 10:39:53.096654,70686,question.overall_rating,3
2019-03-03 16:02:21.170785,71381,question.overall_rating,4
2019-03-03 06:25:37.697438,69521,question.staff_rating,5
2019-03-03 06:29:04.624518,72095,question.staff_rating,5
2019-03-03 06:28:58.692144,72095,question.overall_rating,5
2019-03-03 06:35:25.209212,68978,question.staff_rating,5
2019-03-03 10:40:03.908556,70686,question.staff_rating,3
2019-03-03 06:21:47.379944,68929,question.overall_rating,4
2019-03-03 10:41:30.474612,70686,question.open_feedback,text data
2019-03-03 18:08:34.912270,69835,question.open_feedback,text data
2019-03-03 09:27:38.181667,69845,question.overall_rating,5
2019-03-03 09:27:46.689273,69845,question.staff_rating,3
2019-03-03 21:35:15.736858,71804,question.staff_rating,5
2019-03-03 18:06:11.205446,69835,question.overall_rating,5
2019-03-03 20:27:27.544097,68426,question.staff_rating,4
2019-03-03 12:22:39.904090,70780,question.overall_rating,3
2019-03-04 02:11:46.659545,71004,question.staff_rating,3
2019-03-03 18:06:16.623346,69835,question.staff_rating,5
2019-03-03 21:35:03.360391,71804,question.overall_rating,5
2019-03-03 14:12:18.492114,70678,question.overall_rating,4
2019-03-03 20:27:16.859644,68426,question.overall_rating,2
2019-03-04 01:20:07.827965,71032,question.staff_rating,4
2019-03-04 02:11:40.196847,71004,question.overall_rating,3
2019-03-04 02:35:58.853210,71799,question.overall_rating,4
2019-03-03 21:36:15.936836,71804,question.open_feedback,text data
2019-03-04 01:19:56.023575,71032,question.overall_rating,4
2019-03-04 03:02:52.578352,71280,question.overall_rating,1
2019-03-04 02:36:11.278165,71799,question.staff_rating,4
2019-03-04 03:03:03.305674,71280,question.staff_rating,1
2019-03-04 02:37:08.724734,71799,question.open_feedback,text data
2019-03-04 03:02:03.921184,71109,question.overall_rating,5
2019-03-04 04:03:57.093127,71729,question.overall_rating,3
2019-03-04 03:59:10.674701,71348,question.staff_rating,4
2019-03-04 04:04:10.246743,71729,question.staff_rating,4
2019-03-04 03:58:18.159137,71348,question.overall_rating,4
2019-03-04 05:51:38.384173,71011,question.overall_rating,4
2019-03-04 04:50:14.072851,70361,question.overall_rating,3
2019-03-04 04:50:29.542117,70361,question.staff_rating,4
2019-03-04 04:52:24.170250,70361,question.open_feedback,text data
2019-03-04 05:20:20.787689,71641,question.overall_rating,3
2019-03-04 05:20:33.193081,71641,question.staff_rating,3
2019-03-04 05:27:15.139255,71641,question.open_feedback,text data
2019-03-04 05:51:53.590498,71011,question.staff_rating,5
2019-03-04 11:51:44.976626,71417,question.staff_rating,4
2019-03-04 14:29:05.089638,72331,question.staff_rating,5
2019-03-04 10:33:43.967639,69052,question.overall_rating,3
2019-03-04 08:26:50.676102,69087,question.overall_rating,3
2019-03-04 09:28:03.105296,71412,question.overall_rating,2
2019-03-04 11:25:06.986201,68549,question.overall_rating,4
2019-03-04 08:33:22.557177,70061,question.overall_rating,5
2019-03-04 08:33:57.915676,70061,question.open_feedback,text data
2019-03-04 09:28:24.956759,71412,question.staff_rating,3
2019-03-04 11:51:37.741011,71417,question.overall_rating,4
2019-03-04 08:26:58.902321,69087,question.staff_rating,3
2019-03-04 08:33:35.266994,70061,question.staff_rating,5
2019-03-04 20:20:07.239869,71474,question.overall_rating,4
2019-03-04 20:22:09.842137,71474,question.open_feedback,text data
2019-03-04 17:33:36.128757,67414,question.overall_rating,4
2019-03-04 20:20:49.577154,71474,question.staff_rating,5
2019-03-04 14:28:57.572180,72331,question.overall_rating,4
2019-03-04 17:29:58.650037,71127,question.overall_rating,4
2019-03-04 22:26:27.975940,71339,question.overall_rating,5
2019-03-04 17:34:14.239996,67414,question.staff_rating,4
2019-03-04 15:00:49.279997,70262,question.overall_rating,2
2019-03-04 17:30:09.838005,71127,question.staff_rating,4
2019-03-05 04:20:05.407728,71358,question.overall_rating,4
2019-03-05 00:30:10.260940,70479,question.overall_rating,4
2019-03-05 04:52:20.900337,71362,question.overall_rating,3
2019-03-05 04:20:14.287138,71358,question.staff_rating,5
2019-03-05 00:51:01.213034,72061,question.overall_rating,4
2019-03-05 04:52:41.940294,71362,question.staff_rating,3
2019-03-05 05:28:18.363915,71297,question.open_feedback,text data
2019-03-05 06:10:43.019001,69767,question.staff_rating,5
2019-03-05 04:53:40.270926,71362,question.open_feedback,text data
2019-03-05 09:43:22.284840,71336,question.overall_rating,3
2019-03-05 06:10:26.279650,69767,question.overall_rating,4
2019-03-05 06:12:01.973206,69767,question.open_feedback,text data
2019-03-05 05:26:59.506360,71297,question.overall_rating,5
2019-03-05 05:27:15.921994,71297,question.staff_rating,5
2019-03-05 07:32:03.778751,69121,question.overall_rating,4
2019-03-05 09:27:00.631573,68162,question.staff_rating,5
2019-03-05 14:22:49.147609,71396,question.overall_rating,3
2019-03-05 09:43:32.421699,71336,question.staff_rating,3
2019-03-05 11:07:50.351139,68711,question.open_feedback,text data
2019-03-05 09:26:52.052427,68162,question.overall_rating,4
2019-03-05 14:22:56.104021,71396,question.staff_rating,4
2019-03-05 11:06:13.710372,68711,question.staff_rating,5
2019-03-05 17:36:23.324575,71104,question.staff_rating,5
2019-03-05 17:36:16.180747,71104,question.overall_rating,5
2019-03-05 16:06:08.159132,67311,question.staff_rating,3
2019-03-05 11:05:57.291382,68711,question.overall_rating,5
2019-03-05 13:14:41.214630,67462,question.staff_rating,3
2019-03-05 15:14:58.302140,71448,question.staff_rating,5
2019-03-05 13:14:24.776022,67462,question.overall_rating,3
2019-03-05 16:16:55.622427,67311,question.open_feedback,text data
2019-03-05 15:14:45.381786,71448,question.overall_rating,4
2019-03-06 04:59:21.418358,71789,question.staff_rating,3
2019-03-06 04:07:45.873393,71956,question.overall_rating,3
2019-03-06 03:02:38.961173,71968,question.overall_rating,5
2019-03-06 08:12:59.604453,71296,question.staff_rating,5
2019-03-06 03:03:26.902525,71968,question.staff_rating,5
2019-03-06 10:37:17.531831,71058,question.overall_rating,4
2019-03-06 04:59:07.741292,71789,question.overall_rating,3
2019-03-06 08:12:28.979506,71296,question.overall_rating,5
2019-03-06 03:04:44.691151,71968,question.open_feedback,text data
2019-03-06 10:37:22.837329,71058,question.staff_rating,5
2019-03-06 12:29:25.342394,71071,question.open_feedback,text data
2019-03-06 08:34:40.878881,72011,question.overall_rating,4
2019-03-06 08:35:38.401287,72011,question.staff_rating,4
2019-03-06 12:28:33.013636,71071,question.staff_rating,5
2019-03-06 12:28:18.208514,71071,question.overall_rating,5
2019-03-07 02:38:21.605189,70265,question.open_feedback,text data
2019-03-06 15:45:32.314788,71311,question.staff_rating,4
2019-03-07 00:44:29.481183,71375,question.overall_rating,4
2019-03-07 00:52:14.986700,70843,question.staff_rating,4
2019-03-06 22:02:42.518442,69566,question.staff_rating,5
2019-03-07 00:51:56.785858,70843,question.overall_rating,3
2019-03-06 15:45:17.320305,71311,question.overall_rating,5
2019-03-06 22:39:55.600175,73046,question.overall_rating,3
2019-03-06 22:02:38.997391,69566,question.overall_rating,5
2019-03-07 02:59:29.425238,71966,question.overall_rating,1
2019-03-06 22:40:09.056096,73046,question.staff_rating,5
2019-03-07 02:37:30.769419,70265,question.staff_rating,4
2019-03-07 05:00:19.294638,68311,question.overall_rating,5
2019-03-07 05:00:27.615480,68311,question.staff_rating,5
2019-03-07 06:50:33.147621,70691,question.overall_rating,1
2019-03-07 07:36:08.673570,70356,question.staff_rating,4
2019-03-07 02:37:16.151216,70265,question.overall_rating,3
2019-03-07 07:45:07.388574,71352,question.staff_rating,3
2019-03-07 08:59:40.312785,71704,question.overall_rating,4
2019-03-07 08:59:57.472681,71704,question.staff_rating,4
2019-03-07 07:34:58.832436,70356,question.overall_rating,4
2019-03-07 08:39:26.353895,72067,question.overall_rating,3
2019-03-07 07:44:55.284838,71352,question.overall_rating,4
2019-03-08 03:02:38.614625,73151,question.overall_rating,4
2019-03-07 09:49:03.970125,72320,question.overall_rating,4
2019-03-07 09:49:13.426075,72320,question.staff_rating,4
2019-03-08 11:09:44.764597,69939,question.overall_rating,5
2019-03-07 14:40:31.967164,67981,question.staff_rating,5
2019-03-08 06:39:45.853203,71427,question.staff_rating,4
2019-03-08 04:44:30.490950,72713,question.staff_rating,3
2019-03-08 06:40:12.521411,71427,question.open_feedback,text data
2019-03-08 14:09:25.128051,71855,question.staff_rating,5
2019-03-08 00:26:06.735703,72053,question.staff_rating,5
2019-03-08 04:44:08.131644,72713,question.overall_rating,4
2019-03-08 00:25:58.996381,72053,question.overall_rating,5
2019-03-08 02:05:01.824370,70989,question.overall_rating,5
2019-03-08 03:02:51.298649,73151,question.staff_rating,4
2019-03-08 11:09:52.200130,69939,question.staff_rating,5
2019-03-08 02:05:07.010157,70989,question.staff_rating,5
2019-03-08 04:55:45.083157,71780,question.overall_rating,5
2019-03-08 06:39:37.574084,71427,question.overall_rating,4
2019-03-08 04:55:53.533866,71780,question.staff_rating,5
2019-03-08 13:30:32.452233,72050,question.staff_rating,3
2019-03-13 19:24:34.254914,72665,question.overall_rating,1
2019-03-08 10:41:21.568310,68566,question.overall_rating,3
2019-03-08 10:41:30.794451,68566,question.staff_rating,4
2019-03-08 10:41:59.170786,68566,question.open_feedback,text data
2019-03-08 17:31:59.934731,72059,question.overall_rating,5
2019-03-08 14:09:06.936413,71855,question.overall_rating,4
2019-03-08 17:32:09.978932,72059,question.staff_rating,5
2019-03-09 06:56:21.117998,69512,question.open_feedback,text data
2019-03-09 03:25:56.371570,73051,question.staff_rating,5
2019-03-09 05:56:28.836082,71708,question.overall_rating,4
2019-03-09 08:16:50.720893,71696,question.staff_rating,5
2019-03-09 05:35:12.831082,73460,question.staff_rating,4
2019-03-09 02:22:28.037143,73043,question.overall_rating,3
2019-03-09 04:46:32.209293,73448,question.overall_rating,5
2019-03-09 02:22:47.226401,73043,question.staff_rating,4
2019-03-09 04:50:14.893934,73448,question.open_feedback,text data
2019-03-09 06:54:13.304798,69512,question.overall_rating,4
2019-03-09 06:54:21.931254,69512,question.staff_rating,5
2019-03-09 06:22:54.233238,73091,question.staff_rating,4
2019-03-09 11:11:28.156293,71077,question.staff_rating,5
2019-03-09 09:05:11.308652,72702,question.overall_rating,4
2019-03-09 20:38:51.874531,71429,question.open_feedback,text data
2019-03-10 00:37:28.125949,73166,question.staff_rating,3
2019-03-09 16:13:20.156224,70477,question.staff_rating,3
2019-03-09 23:55:26.671143,73475,question.overall_rating,3
2019-03-10 04:20:19.749206,71284,question.overall_rating,1
2019-03-09 23:55:57.416456,73475,question.staff_rating,1
2019-03-10 06:18:54.724266,69652,question.overall_rating,3
2019-03-10 09:37:39.810067,72716,question.staff_rating,5
2019-03-10 04:24:48.100326,71284,question.open_feedback,text data
2019-03-10 04:20:40.053020,71284,question.staff_rating,1
2019-03-10 09:37:13.688921,72716,question.overall_rating,4
2019-03-10 13:51:15.928347,72647,question.staff_rating,4
2019-03-10 16:47:47.620306,72198,question.staff_rating,5
2019-03-10 14:42:19.599001,70501,question.staff_rating,5
2019-03-10 14:51:31.824268,72697,question.staff_rating,5
2019-03-11 02:50:14.023131,71366,question.overall_rating,4
2019-03-10 14:42:06.363792,70501,question.overall_rating,4
2019-03-11 00:38:51.612661,70643,question.staff_rating,5
2019-03-10 22:38:38.640832,71170,question.overall_rating,2
2019-03-11 00:38:40.178100,70643,question.overall_rating,5
2019-03-10 14:51:24.557987,72697,question.overall_rating,5
2019-03-10 15:19:52.675447,72313,question.staff_rating,5
2019-03-10 16:45:10.969608,67293,question.overall_rating,2
2019-03-11 00:58:18.272113,71283,question.overall_rating,4
2019-03-10 21:28:12.628364,72678,question.overall_rating,4
2019-03-10 21:28:30.933802,72678,question.staff_rating,5
2019-03-11 06:21:05.253108,72064,question.overall_rating,4
2019-03-11 06:21:14.309752,72064,question.staff_rating,5
2019-03-11 10:22:23.663902,72299,question.overall_rating,1
2019-03-11 10:28:57.493083,69642,question.overall_rating,4
2019-03-11 08:12:36.417369,70257,question.overall_rating,5
2019-03-11 10:29:34.346220,69642,question.staff_rating,5
2019-03-11 11:36:52.847506,71752,question.staff_rating,4
2019-03-11 11:24:04.111495,68815,question.overall_rating,4
2019-03-11 11:36:43.952005,71752,question.overall_rating,4
2019-03-11 12:18:18.599064,71138,question.staff_rating,5
2019-03-11 18:37:03.012411,73175,question.staff_rating,5
2019-03-11 21:15:11.013484,70489,question.overall_rating,5
2019-03-11 12:18:47.822039,71138,question.open_feedback,text data
2019-03-11 15:26:34.633440,71649,question.overall_rating,4
2019-03-11 11:44:08.280937,72149,question.overall_rating,5
2019-03-11 11:37:40.648060,71752,question.open_feedback,text data
2019-03-11 18:38:43.814085,73175,question.open_feedback,text data
2019-03-11 13:40:22.335202,70320,question.staff_rating,5
2019-03-11 17:03:59.475547,72790,question.overall_rating,4
2019-03-11 20:30:45.335008,70252,question.overall_rating,4
2019-03-11 20:53:00.474385,67182,question.overall_rating,5
2019-03-11 20:53:08.660287,67182,question.staff_rating,5
2019-03-12 00:39:52.695965,72289,question.staff_rating,4
2019-03-12 04:47:09.327915,73161,question.staff_rating,4
2019-03-12 00:26:59.238690,73398,question.overall_rating,3
2019-03-12 08:22:41.474369,70830,question.overall_rating,4
2019-03-12 03:05:21.959532,72688,question.staff_rating,5
2019-03-12 08:22:56.481514,70830,question.staff_rating,3
2019-03-12 08:54:06.451386,72659,question.staff_rating,4
2019-03-12 03:06:05.347566,72688,question.open_feedback,text data
2019-03-12 06:34:30.647738,73740,question.overall_rating,5
2019-03-12 09:30:42.886502,71475,question.staff_rating,5
2019-03-12 06:34:37.348289,73740,question.staff_rating,5
2019-03-12 05:37:14.375313,72988,question.staff_rating,5
2019-03-12 04:47:00.708314,73161,question.overall_rating,4
2019-03-12 09:31:05.222237,71475,question.open_feedback,text data
2019-03-12 08:42:10.524356,69736,question.open_feedback,text data
2019-03-12 08:40:31.950706,69736,question.overall_rating,3
2019-03-13 02:14:28.683457,73060,question.overall_rating,4
2019-03-13 02:14:36.055787,73060,question.staff_rating,5
2019-03-13 02:50:06.885809,73792,question.staff_rating,3
2019-03-13 05:50:01.552406,72956,question.overall_rating,4
2019-03-13 06:00:07.038461,71715,question.open_feedback,text data
2019-03-13 02:50:19.786897,73792,question.open_feedback,text data
2019-03-13 05:44:22.199544,72632,question.staff_rating,5
2019-03-13 11:21:52.230011,72737,question.staff_rating,5
2019-03-13 11:26:26.203814,73888,question.staff_rating,5
2019-03-13 11:39:04.848445,70417,question.overall_rating,5
2019-03-13 11:39:19.878249,70417,question.staff_rating,5
2019-03-14 02:50:10.249833,72319,question.overall_rating,5
2019-03-14 02:54:24.219877,72319,question.open_feedback,text data
2019-03-13 22:20:11.201770,71009,question.staff_rating,4
2019-03-03 14:12:59.287514,70678,question.staff_rating,5
2019-03-08 13:30:27.019336,72050,question.overall_rating,4
2019-03-08 21:10:58.446170,68614,question.staff_rating,5
2019-03-09 05:59:05.029423,71708,question.open_feedback,text data
2019-03-09 05:35:08.422163,73460,question.overall_rating,4
2019-03-09 08:16:43.969726,71696,question.overall_rating,5
2019-03-08 21:10:48.036666,68614,question.overall_rating,5
2019-03-09 02:23:26.381564,73043,question.open_feedback,text data
